feature,mi_score,f_score,f_pvalue,missing_ratio,rank_mi,rank_f,rank_uni_avg,rf_importance,perm_importance_mean,perm_importance_std,rank_rf,rank_perm,rank_model_avg,rank_uni_filled,rank_model_filled,final_rank_score,final_rank
wound_perimeter_px_first,0.19593536648132504,2.358348018512094,0.10544677291865201,0.0196078431372549,3.0,12.0,7.5,0.047036948199404065,0.0,0.0,4.0,26.0,15.0,7.5,15.0,11.25,1
wound_L_mean_first,0.10096279089729454,3.050737008098563,0.056594125034847634,0.0196078431372549,7.0,10.0,8.5,0.03622507955386157,0.0,0.0,7.0,26.0,16.5,8.5,16.5,12.5,2
suture_zone_L_mean_first,0.16527980200223102,2.0303472846937396,0.14241335109744052,0.0784313725490196,5.0,18.0,11.5,0.029590323714395246,0.0,0.0,11.0,26.0,18.5,11.5,18.5,15.0,3
wound_glcm_energy_first,0.3212065961757018,9.39983628217861,0.00035909196606617304,0.0196078431372549,1.0,1.0,1.0,0.07343775690072928,-0.012745098039215641,0.009352345111930806,1.0,57.5,29.25,1.0,29.25,15.125,4
suture_zone_glcm_energy_first,0.1654877936708079,6.690603885279245,0.002734886998678933,0.0784313725490196,4.0,3.0,3.5,0.05813366579097398,-0.012745098039215641,0.009352345111930806,3.0,57.5,30.25,3.5,30.25,16.875,5
parsed_day_start,0.01354840587318451,4.028218694885355,0.024142256584765504,0.1568627450980392,29.0,5.0,17.0,0.029939479216755455,0.0,0.0,9.0,26.0,17.5,17.0,17.5,17.25,6
healing_balance_score_first,0.04752101448839019,2.2244651084531344,0.11915450585009388,0.0,20.0,16.0,18.0,0.032409948709098364,0.0,0.0,8.0,26.0,17.0,18.0,17.0,17.5,7
hyperemia_zone_area_pct_wound_first,0.19712564818745104,2.414168132124917,0.10022666775766906,0.0196078431372549,2.0,11.0,6.5,0.005436357495920994,0.0,0.0,34.0,26.0,30.0,6.5,30.0,18.25,8
wound_glcm_entropy_first,0.08666931751107643,7.667321164318991,0.0012894305692773378,0.0196078431372549,12.0,2.0,7.0,0.05843921995435727,-0.012745098039215641,0.009352345111930806,2.0,57.5,29.75,7.0,29.75,18.375,9
wound_glcm_homogeneity_first,0.04972450474278167,1.4659231045936,0.2410147600376162,0.0196078431372549,18.0,25.0,21.5,0.029801165384722956,0.0,0.0,10.0,26.0,18.0,21.5,18.0,19.75,10
suture_zone_glcm_entropy_first,0.08533005845979069,5.9850342189359695,0.004779259698001422,0.0784313725490196,13.0,4.0,8.5,0.043779083160863964,-0.012745098039215641,0.009352345111930806,5.0,57.5,31.25,8.5,31.25,19.875,11
infection_related_proxy_flag_first,0.03652014770305767,3.3777777777777787,0.04241438203142465,0.0,22.0,7.0,14.5,0.004330265588418028,0.0,0.0,36.0,26.0,31.0,14.5,31.0,22.75,12
devitalized_area_pct_wound_first,0.09333241985861918,1.799575049390442,0.17634718733466662,0.0196078431372549,9.0,22.0,15.5,0.0045790883651200855,0.0,0.0,35.0,26.0,30.5,15.5,30.5,23.0,13
suture_zone_perimeter_px_first,0.019185015835053942,1.4620471101210468,0.24189683434828965,0.0784313725490196,27.0,26.0,26.5,0.024638544142660247,0.0,0.0,17.0,26.0,21.5,26.5,21.5,24.0,14
deep_damage_proxy_flag_first,0.077570248862884,2.3414634146341466,0.10708095373857665,0.0,15.0,14.0,14.5,0.002954256694238137,0.0,0.0,42.0,26.0,34.0,14.5,34.0,24.25,15
suture_minus_wound_a_mean_first,0.0,3.051853906525948,0.05653807278535278,0.0784313725490196,47.0,9.0,28.0,0.026184717080918917,0.0,0.0,16.0,26.0,21.0,28.0,21.0,24.5,16
suture_zone_glcm_homogeneity_first,0.04818577572727256,1.885368158003252,0.16284164952342473,0.0784313725490196,19.0,21.0,20.0,0.03740082203373781,-0.0029411764705882084,0.01282029101041373,6.0,54.0,30.0,20.0,30.0,25.0,17
reparative_area_pct_wound_first,0.09417073677551913,1.191239537735539,0.31266617469532065,0.0196078431372549,8.0,29.0,18.5,0.003949305633890345,0.0,0.0,38.0,26.0,32.0,18.5,32.0,25.25,18
necrosis_zone_area_pct_wound_first,0.09263521999460056,1.5461127746999281,0.2234981844833601,0.0196078431372549,10.0,24.0,17.0,0.0034237407992529045,0.0,0.0,41.0,26.0,33.5,17.0,33.5,25.25,19
reparative_proxy_flag_first,0.08979662302697489,1.200000000000001,0.31006791028264913,0.0,11.0,28.0,19.5,0.004135551756918151,0.0,0.0,37.0,26.0,31.5,19.5,31.5,25.5,20
necrosis_zone_present_first,0.059522417764151125,2.3414634146341466,0.10708095373857665,0.0,17.0,14.0,15.5,0.0021695052806669766,0.0,0.0,45.0,26.0,35.5,15.5,35.5,25.5,21
suture_zone_b_mean_first,0.03649579841400241,1.115393987982153,0.33613204063877167,0.0784313725490196,23.0,31.0,27.0,0.023249436273544793,0.0,0.0,22.0,26.0,24.0,27.0,24.0,25.5,22
deep_structure_area_pct_wound_first,0.08389828901445373,1.3919146508208702,0.25845147195724677,0.0196078431372549,14.0,27.0,20.5,0.003723797965218955,0.0,0.0,39.0,26.0,32.5,20.5,32.5,26.5,23
wound_area_pct_image_first,0.0022536264874379874,1.0635346830275025,0.35322720408505226,0.0,32.0,34.0,33.0,0.02647605259675811,0.0,0.0,15.0,26.0,20.5,33.0,20.5,26.75,24
inflammatory_area_pct_wound_first,0.0,3.3917092486504488,0.04189967024102544,0.0196078431372549,47.0,6.0,26.5,0.011310797887986656,0.0,0.0,31.0,26.0,28.5,26.5,28.5,27.5,25
wound_area_px_first,0.030795645470633737,0.8343911271381036,0.4403372235478634,0.0,25.0,48.0,36.5,0.029316995728629693,0.0,0.0,12.0,26.0,19.0,36.5,19.0,27.75,26
observed_raw_frame_start,0.0,3.15392254220457,0.05165210263598275,0.0,47.0,8.0,27.5,0.01040035674473924,0.0,0.0,32.0,26.0,29.0,27.5,29.0,28.25,27
wound_circularity_first,0.0,1.9351929055960349,0.15549707291268736,0.0196078431372549,47.0,19.0,33.0,0.024061445619937685,0.0,0.0,21.0,26.0,23.5,33.0,23.5,28.25,28
granulation_zone_present_first,0.03181021743084367,2.1333333333333333,0.12953717153275246,0.0,24.0,17.0,20.5,0.00013884036038044428,0.0,0.0,50.0,26.0,38.0,20.5,38.0,29.25,29
wound_glcm_contrast_first,0.03806175860771743,1.0631616653479168,0.35335339650823894,0.0196078431372549,21.0,35.0,28.0,0.02734175170429556,-0.0009803921568627416,0.004273430336804566,13.0,52.0,32.5,28.0,32.5,30.25,30
wound_a_mean_first,0.001818158675809034,0.8448835432170103,0.4358957469601912,0.0196078431372549,33.0,47.0,40.0,0.02423930484975393,0.0,0.0,20.0,26.0,23.0,40.0,23.0,31.5,31
suture_zone_a_mean_first,0.0,1.02857567453022,0.36526036539696605,0.0784313725490196,47.0,36.0,41.5,0.02454912197687317,0.0,0.0,18.0,26.0,22.0,41.5,22.0,31.75,32
wound_non_suture_area_px_first,0.022382950477625396,0.036529286282060446,0.9641566334942684,0.0,26.0,59.0,42.5,0.02427018894098583,0.0,0.0,19.0,26.0,22.5,42.5,22.5,32.5,33
edema_zone_area_pct_wound_first,0.1613786497674421,0.9999999999999999,0.375413246727102,0.0196078431372549,6.0,44.0,25.0,0.0,0.0,0.0,55.5,26.0,40.75,25.0,40.75,32.875,34
wound_non_suture_area_pct_wound_first,0.0,1.188487137446414,0.31348718289537286,0.0196078431372549,47.0,30.0,38.5,0.019269122300677642,0.0,0.0,29.0,26.0,27.5,38.5,27.5,33.0,35
subcutaneous_fat_no_granulation_present_first,0.0,2.3414634146341466,0.10708095373857665,0.0,47.0,14.0,30.5,0.0017959762510791877,0.0,0.0,46.0,26.0,36.0,30.5,36.0,33.25,36
suture_zone_area_px_first,0.0006416119110275176,0.8328131280654947,0.4410092631476441,0.0,34.0,49.0,41.5,0.020491398948178804,0.0,0.0,26.0,26.0,26.0,41.5,26.0,33.75,37
purulent_discharge_area_pct_wound_first,0.0625167020469144,1.0,0.375413246727102,0.0196078431372549,16.0,40.5,28.25,0.0,0.0,0.0,55.5,26.0,40.75,28.25,40.75,34.5,38
suture_minus_wound_b_mean_first,0.0,0.1979796243632034,0.8210530908106846,0.0784313725490196,47.0,55.0,51.0,0.026596540557795072,0.0,0.0,14.0,26.0,20.0,51.0,20.0,35.5,39
granulation_zone_area_pct_wound_first,0.0,1.9059372274958641,0.15976674549742492,0.0196078431372549,47.0,20.0,33.5,3.882882291131969e-05,0.0,0.0,51.0,26.0,38.5,33.5,38.5,36.0,40
subcutaneous_fat_no_granulation_area_pct_wound_first,0.0,1.069672389763619,0.3511575365891654,0.0196078431372549,47.0,32.0,39.5,0.0035232703333789024,0.0,0.0,40.0,26.0,33.0,39.5,33.0,36.25,41
hyperemia_zone_present_first,0.005315513557246909,0.8484848484848488,0.434382080374606,0.0,31.0,46.0,38.5,0.0025980701154092616,0.0,0.0,43.0,26.0,34.5,38.5,34.5,36.5,42
wound_b_mean_first,0.0,0.6369238584902007,0.5333278339386557,0.0196078431372549,47.0,51.0,49.0,0.020442298925190946,0.0,0.0,27.0,26.0,26.5,49.0,26.5,37.75,43
suture_minus_wound_L_mean_first,0.0,1.7356615132917925,0.18716375059377097,0.0784313725490196,47.0,23.0,35.0,0.020323306892789546,-0.0019607843137254832,0.0058823529411764506,28.0,53.0,40.5,35.0,40.5,37.75,44
fibrin_present_first,0.011092066759132546,1.0,0.375413246727102,0.0,30.0,40.5,35.25,0.0,0.0,0.0,55.5,26.0,40.75,35.25,40.75,38.0,45
