feature,mi_score,f_score,f_pvalue,missing_ratio,rank_mi,rank_f,rank_uni_avg
wound_glcm_energy_first,0.3212065961757018,9.39983628217861,0.00035909196606617304,0.0196078431372549,1.0,1.0,1.0
suture_zone_glcm_energy_first,0.1654877936708079,6.690603885279245,0.002734886998678933,0.0784313725490196,4.0,3.0,3.5
hyperemia_zone_area_pct_wound_first,0.19712564818745104,2.414168132124917,0.10022666775766906,0.0196078431372549,2.0,11.0,6.5
wound_glcm_entropy_first,0.08666931751107643,7.667321164318991,0.0012894305692773378,0.0196078431372549,12.0,2.0,7.0
wound_perimeter_px_first,0.19593536648132504,2.358348018512094,0.10544677291865201,0.0196078431372549,3.0,12.0,7.5
wound_L_mean_first,0.10096279089729454,3.050737008098563,0.056594125034847634,0.0196078431372549,7.0,10.0,8.5
suture_zone_glcm_entropy_first,0.08533005845979069,5.9850342189359695,0.004779259698001422,0.0784313725490196,13.0,4.0,8.5
suture_zone_L_mean_first,0.16527980200223102,2.0303472846937396,0.14241335109744052,0.0784313725490196,5.0,18.0,11.5
deep_damage_proxy_flag_first,0.077570248862884,2.3414634146341466,0.10708095373857665,0.0,15.0,14.0,14.5
infection_related_proxy_flag_first,0.03652014770305767,3.3777777777777787,0.04241438203142465,0.0,22.0,7.0,14.5
devitalized_area_pct_wound_first,0.09333241985861918,1.799575049390442,0.17634718733466662,0.0196078431372549,9.0,22.0,15.5
necrosis_zone_present_first,0.059522417764151125,2.3414634146341466,0.10708095373857665,0.0,17.0,14.0,15.5
necrosis_zone_area_pct_wound_first,0.09263521999460056,1.5461127746999281,0.2234981844833601,0.0196078431372549,10.0,24.0,17.0
parsed_day_start,0.01354840587318451,4.028218694885355,0.024142256584765504,0.1568627450980392,29.0,5.0,17.0
healing_balance_score_first,0.04752101448839019,2.2244651084531344,0.11915450585009388,0.0,20.0,16.0,18.0
reparative_area_pct_wound_first,0.09417073677551913,1.191239537735539,0.31266617469532065,0.0196078431372549,8.0,29.0,18.5
reparative_proxy_flag_first,0.08979662302697489,1.200000000000001,0.31006791028264913,0.0,11.0,28.0,19.5
suture_zone_glcm_homogeneity_first,0.04818577572727256,1.885368158003252,0.16284164952342473,0.0784313725490196,19.0,21.0,20.0
deep_structure_area_pct_wound_first,0.08389828901445373,1.3919146508208702,0.25845147195724677,0.0196078431372549,14.0,27.0,20.5
granulation_zone_present_first,0.03181021743084367,2.1333333333333333,0.12953717153275246,0.0,24.0,17.0,20.5
wound_glcm_homogeneity_first,0.04972450474278167,1.4659231045936,0.2410147600376162,0.0196078431372549,18.0,25.0,21.5
edema_zone_area_pct_wound_first,0.1613786497674421,0.9999999999999999,0.375413246727102,0.0196078431372549,6.0,44.0,25.0
suture_zone_perimeter_px_first,0.019185015835053942,1.4620471101210468,0.24189683434828965,0.0784313725490196,27.0,26.0,26.5
inflammatory_area_pct_wound_first,0.0,3.3917092486504488,0.04189967024102544,0.0196078431372549,47.0,6.0,26.5
suture_zone_b_mean_first,0.03649579841400241,1.115393987982153,0.33613204063877167,0.0784313725490196,23.0,31.0,27.0
observed_raw_frame_start,0.0,3.15392254220457,0.05165210263598275,0.0,47.0,8.0,27.5
wound_glcm_contrast_first,0.03806175860771743,1.0631616653479168,0.35335339650823894,0.0196078431372549,21.0,35.0,28.0
suture_minus_wound_a_mean_first,0.0,3.051853906525948,0.05653807278535278,0.0784313725490196,47.0,9.0,28.0
purulent_discharge_area_pct_wound_first,0.0625167020469144,1.0,0.375413246727102,0.0196078431372549,16.0,40.5,28.25
subcutaneous_fat_no_granulation_present_first,0.0,2.3414634146341466,0.10708095373857665,0.0,47.0,14.0,30.5
wound_area_pct_image_first,0.0022536264874379874,1.0635346830275025,0.35322720408505226,0.0,32.0,34.0,33.0
wound_circularity_first,0.0,1.9351929055960349,0.15549707291268736,0.0196078431372549,47.0,19.0,33.0
granulation_zone_area_pct_wound_first,0.0,1.9059372274958641,0.15976674549742492,0.0196078431372549,47.0,20.0,33.5
suture_minus_wound_L_mean_first,0.0,1.7356615132917925,0.18716375059377097,0.0784313725490196,47.0,23.0,35.0
fibrin_present_first,0.011092066759132546,1.0,0.375413246727102,0.0,30.0,40.5,35.25
wound_area_px_first,0.030795645470633737,0.8343911271381036,0.4403372235478634,0.0,25.0,48.0,36.5
hyperemia_zone_present_first,0.005315513557246909,0.8484848484848488,0.434382080374606,0.0,31.0,46.0,38.5
wound_non_suture_area_pct_wound_first,0.0,1.188487137446414,0.31348718289537286,0.0196078431372549,47.0,30.0,38.5
subcutaneous_fat_no_granulation_area_pct_wound_first,0.0,1.069672389763619,0.3511575365891654,0.0196078431372549,47.0,32.0,39.5
metal_device_present_first,0.017881293487806094,0.5957446808510637,0.5551756037188142,0.0,28.0,52.0,40.0
