feature,rf_importance,perm_importance_mean,perm_importance_std,rank_rf,rank_perm,rank_model_avg
wound_perimeter_px_first,0.047036948199404065,0.0,0.0,4.0,26.0,15.0
wound_L_mean_first,0.03622507955386157,0.0,0.0,7.0,26.0,16.5
healing_balance_score_first,0.032409948709098364,0.0,0.0,8.0,26.0,17.0
parsed_day_start,0.029939479216755455,0.0,0.0,9.0,26.0,17.5
wound_glcm_homogeneity_first,0.029801165384722956,0.0,0.0,10.0,26.0,18.0
suture_zone_L_mean_first,0.029590323714395246,0.0,0.0,11.0,26.0,18.5
wound_area_px_first,0.029316995728629693,0.0,0.0,12.0,26.0,19.0
suture_minus_wound_b_mean_first,0.026596540557795072,0.0,0.0,14.0,26.0,20.0
wound_area_pct_image_first,0.02647605259675811,0.0,0.0,15.0,26.0,20.5
suture_minus_wound_a_mean_first,0.026184717080918917,0.0,0.0,16.0,26.0,21.0
suture_zone_perimeter_px_first,0.024638544142660247,0.0,0.0,17.0,26.0,21.5
suture_zone_a_mean_first,0.02454912197687317,0.0,0.0,18.0,26.0,22.0
wound_non_suture_area_px_first,0.02427018894098583,0.0,0.0,19.0,26.0,22.5
wound_a_mean_first,0.02423930484975393,0.0,0.0,20.0,26.0,23.0
wound_circularity_first,0.024061445619937685,0.0,0.0,21.0,26.0,23.5
suture_zone_b_mean_first,0.023249436273544793,0.0,0.0,22.0,26.0,24.0
suture_to_wound_perimeter_ratio_first,0.022243658598765478,0.0,0.0,23.0,26.0,24.5
suture_to_wound_area_ratio_first,0.022128737804201652,0.0,0.0,24.0,26.0,25.0
suture_zone_area_px_first,0.020491398948178804,0.0,0.0,26.0,26.0,26.0
wound_b_mean_first,0.020442298925190946,0.0,0.0,27.0,26.0,26.5
wound_non_suture_area_pct_wound_first,0.019269122300677642,0.0,0.0,29.0,26.0,27.5
suture_zone_circularity_first,0.01801890033674439,0.0,0.0,30.0,26.0,28.0
inflammatory_area_pct_wound_first,0.011310797887986656,0.0,0.0,31.0,26.0,28.5
observed_raw_frame_start,0.01040035674473924,0.0,0.0,32.0,26.0,29.0
wound_glcm_energy_first,0.07343775690072928,-0.012745098039215641,0.009352345111930806,1.0,57.5,29.25
device_related_area_pct_wound_first,0.008453992963595834,0.0,0.0,33.0,26.0,29.5
wound_glcm_entropy_first,0.05843921995435727,-0.012745098039215641,0.009352345111930806,2.0,57.5,29.75
hyperemia_zone_area_pct_wound_first,0.005436357495920994,0.0,0.0,34.0,26.0,30.0
suture_zone_glcm_homogeneity_first,0.03740082203373781,-0.0029411764705882084,0.01282029101041373,6.0,54.0,30.0
suture_zone_glcm_energy_first,0.05813366579097398,-0.012745098039215641,0.009352345111930806,3.0,57.5,30.25
devitalized_area_pct_wound_first,0.0045790883651200855,0.0,0.0,35.0,26.0,30.5
infection_related_proxy_flag_first,0.004330265588418028,0.0,0.0,36.0,26.0,31.0
suture_zone_glcm_entropy_first,0.043779083160863964,-0.012745098039215641,0.009352345111930806,5.0,57.5,31.25
reparative_proxy_flag_first,0.004135551756918151,0.0,0.0,37.0,26.0,31.5
reparative_area_pct_wound_first,0.003949305633890345,0.0,0.0,38.0,26.0,32.0
deep_structure_area_pct_wound_first,0.003723797965218955,0.0,0.0,39.0,26.0,32.5
wound_glcm_contrast_first,0.02734175170429556,-0.0009803921568627416,0.004273430336804566,13.0,52.0,32.5
subcutaneous_fat_no_granulation_area_pct_wound_first,0.0035232703333789024,0.0,0.0,40.0,26.0,33.0
necrosis_zone_area_pct_wound_first,0.0034237407992529045,0.0,0.0,41.0,26.0,33.5
deep_damage_proxy_flag_first,0.002954256694238137,0.0,0.0,42.0,26.0,34.0
hyperemia_zone_present_first,0.0025980701154092616,0.0,0.0,43.0,26.0,34.5
inflammation_related_proxy_flag_first,0.002382438250328235,0.0,0.0,44.0,26.0,35.0
necrosis_zone_present_first,0.0021695052806669766,0.0,0.0,45.0,26.0,35.5
subcutaneous_fat_no_granulation_present_first,0.0017959762510791877,0.0,0.0,46.0,26.0,36.0
metal_device_present_first,0.0014448845361443555,0.0,0.0,47.0,26.0,36.5
suture_zone_present_first,0.0007905791900255644,0.0,0.0,48.0,26.0,37.0
edema_zone_present_first,0.0003279964804163912,0.0,0.0,49.0,26.0,37.5
granulation_zone_present_first,0.00013884036038044428,0.0,0.0,50.0,26.0,38.0
granulation_zone_area_pct_wound_first,3.882882291131969e-05,0.0,0.0,51.0,26.0,38.5
suture_zone_glcm_contrast_first,0.02205708258635861,-0.00588235294117645,0.008985442539129066,25.0,55.0,40.0
suture_minus_wound_L_mean_first,0.020323306892789546,-0.0019607843137254832,0.0058823529411764506,28.0,53.0,40.5
edema_zone_area_pct_wound_first,0.0,0.0,0.0,55.5,26.0,40.75
fibrin_area_pct_wound_first,0.0,0.0,0.0,55.5,26.0,40.75
fibrin_present_first,0.0,0.0,0.0,55.5,26.0,40.75
purulent_discharge_area_pct_wound_first,0.0,0.0,0.0,55.5,26.0,40.75
purulent_discharge_present_first,0.0,0.0,0.0,55.5,26.0,40.75
wound_depths_area_pct_wound_first,0.0,0.0,0.0,55.5,26.0,40.75
wound_depths_present_first,0.0,0.0,0.0,55.5,26.0,40.75
wound_present_first,0.0,0.0,0.0,55.5,26.0,40.75
